model,fold,best_epoch,accuracy,precision,recall,f1,val_loss,training_time_seconds,inference_time_seconds,inference_ms_per_sentence,trainable_parameters,vocab_size
Model 2,1,5,0.6510617760617761,0.661940058008379,0.5270721067487811,0.5868571428571429,0.6252680349808473,81.60612330003642,1.7514138999395072,0.21131924468382085,3482401,17411
Model 2,2,5,0.6506154960173787,0.645679012345679,0.5449335764522011,0.5910439327588642,0.6188735171006277,89.31382399983704,1.798380099935457,0.21703839004772593,3483201,17415
Model 2,3,5,0.6418739434919102,0.649316851008458,0.513903192584964,0.5737280827824087,0.6337666323551765,91.64583609998226,1.7955294998828322,0.21679902196122097,3469001,17344
Model 2,4,4,0.6337841101183289,0.6428808496515102,0.49743194658448897,0.5608802663964094,0.6407638907432556,88.12834280007519,1.6720632000360638,0.2018912340058034,3482401,17411
Model 2,5,5,0.6470659261048056,0.6661311053984575,0.5238817285822593,0.586504456075824,0.622972715817965,88.86548030003905,1.8054678000044078,0.2179990099015223,3501801,17508
