model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,training_time_mean,training_time_std,inference_ms_mean,inference_ms_std,trainable_parameters_mean
Model 1,0.6557941301579728,0.005484126305324284,0.6549229019827442,0.009712511338395638,0.5664224510655125,0.018002659162332617,0.6072875812458888,0.009737308642024052,105.19969420433044,15.11469473174456,0.19183091881913547,0.033709125439143096,
Model 3,0.6560101927385387,0.00761667212367014,0.6591060497108355,0.01327473580377945,0.556272490865634,0.020693719072213387,0.6030874498025932,0.012094616235024796,88.30107382000423,5.261606109517674,0.2115917500878394,0.008451735011755819,3483761.0
Model 5,0.6527023143386008,0.008001818187487781,0.6600534819129331,0.009169455878548735,0.5386238921373531,0.023143191718079992,0.5929776479792062,0.015082311109353907,245.5953902600333,4.946628753819693,0.3265555132559218,0.03369200506956445,3483761.0
Model 2,0.6448802503588399,0.007211859858274893,0.6531895752824968,0.010268039281477645,0.5214445101905388,0.017484427303451976,0.5798027761741299,0.01240970870182937,87.91192129999399,3.7625341314708356,0.21300938012001866,0.0067446356915765665,3483761.0
Model 4,0.6392548722251138,0.008549730870179982,0.6507404039717845,0.01183032034643621,0.5021379612464284,0.01872009631996741,0.5667176800119224,0.013836437683711683,109.26580125996843,29.408159288772946,0.24474493288257237,0.038259337605534835,3483761.0
