model,fold,best_epoch,accuracy,precision,recall,f1,val_loss,training_time_seconds,inference_time_seconds,inference_ms_per_sentence,trainable_parameters,vocab_size
Model 5,1,5,0.6587837837837838,0.6661485856387939,0.5499101873235822,0.6024739949395558,0.6224150282535774,252.54820269998163,2.730023100040853,0.32939467905898323,3482401,17411
Model 5,2,5,0.6611151339608979,0.653834676216055,0.570721542068247,0.6094575799721836,0.6130197444017329,244.19866690016352,2.9103079999331385,0.35123195751063707,3483201,17415
Model 5,3,5,0.6465829509780247,0.6548042704626335,0.5211122554067971,0.5803584229390681,0.6340184682354504,240.56339969998226,2.9678116999566555,0.3583448080121535,3469001,17344
Model 5,4,4,0.6423569186186912,0.6522875816993464,0.5125834617360041,0.5740580960598217,0.6366032198589281,248.65943770017475,2.2599656998645514,0.2728768051031818,3482401,17411
Model 5,5,5,0.6546727843516059,0.6731922955478371,0.5387920141521354,0.5985401459854015,0.6206825192600604,242.0072442998644,2.657936600036919,0.32092931659465335,3501801,17508
