fold,best_epoch,accuracy,precision,recall,f1,val_loss,training_time,inference_time,model_size_mb,trainable_parameters
1,8,0.6628277560480951,0.6083015267175572,0.7881316643486324,0.6866374957926624,0.6093805192245377,26.544502699980512,0.3949011000804603,1.5083723068237305,394754
2,9,0.6642045043087841,0.6208338779244543,0.7323465926611162,0.6719954728726039,0.6090358001766382,26.46963299997151,0.43274790002033114,1.5083723068237305,394754
3,4,0.6651213328504165,0.6158559000122534,0.7715689284617746,0.6849744463373083,0.6078476171802591,26.061526000034064,0.4565477999858558,1.5083723068237305,394754
