model,fold,best_epoch,accuracy,precision,recall,f1,val_loss,training_time_seconds,inference_time_seconds,inference_ms_per_sentence,trainable_parameters,vocab_size
Model 4,1,5,0.6440637065637066,0.6619911050290798,0.49653579676674364,0.5674486803519062,0.6295487507031514,87.42126109986566,1.873844400048256,0.22609126448458686,3482401,17411
Model 4,2,5,0.6478397296644943,0.646329837940896,0.5298254753842147,0.5823074720870312,0.6258657356867423,92.646181399934,1.8688696001190692,0.22554545017126107,3483201,17415
Model 4,3,5,0.6369234484424052,0.6467045834727334,0.49768280123583936,0.5624909064455115,0.6360882103443146,92.55364549998194,1.9740707001183182,0.23835676166606112,3469001,17344
Model 4,4,4,0.6256942767447476,0.6353101567825494,0.4786851566512583,0.5459871118922085,0.6446403320019062,115.58832290000282,1.8343261999543756,0.22148348224515524,3482401,17411
Model 4,5,5,0.6417531997102149,0.6633663366336634,0.5079605761940864,0.5753542292829541,0.6279619735020857,158.11959540005773,2.5860354998148978,0.31224770584579786,3501801,17508
