model,fold,best_epoch,accuracy,precision,recall,f1,val_loss,training_time_seconds,inference_time_seconds,inference_ms_per_sentence,trainable_parameters,vocab_size
Model 3,1,5,0.660472972972973,0.6645396536007293,0.5612009237875288,0.6085141903171953,0.6259948604382002,83.30029170005582,1.741375399986282,0.21010803571263056,3482401,17411
Model 3,2,5,0.6637702148201786,0.652123663681017,0.5879135191456109,0.6183561643835617,0.6145852923393249,86.64141739998013,1.8104502998758107,0.2184950880854225,3483201,17415
Model 3,3,3,0.6463414634146342,0.6431784107946027,0.5522657054582905,0.5942651336750242,0.6316654682159424,88.1368136999663,1.6720578998792917,0.20189059404483115,3469001,17344
Model 3,4,4,0.6494808017387105,0.657351540171483,0.5315870570107858,0.5878176913247196,0.635610015804951,86.25171660003252,1.702698800014332,0.20559029220168218,3482401,17411
Model 3,5,5,0.6599855107461966,0.6783369803063457,0.548395248925954,0.606484069312465,0.6240159555123402,97.17512969998643,1.8375665999483317,0.22187474039463073,3501801,17508
