model,accuracy,precision,recall,f1,training_time,inference_time,model_size_mb,trainable_parameters
Transformer 2,0.6640511977357653,0.6149971015514216,0.7640157284905077,0.6812024716675249,26.35855389999536,0.42806560002888244,1.5083723068237305,394754
Transformer 1,0.6653307174768771,0.6186798516167732,0.751331023086736,0.6784979013383495,21.7574578000543,0.4088521666514377,0.7554426193237305,197378
Transformer 5,0.6658139140865728,0.6225095531213992,0.7414139570909791,0.6755162194679434,32.280813866605364,0.46852036674196523,1.5083723068237305,394754
Transformer 4,0.6657661311771325,0.6225465841008262,0.7361186503098928,0.6743098523043377,27.952755633353565,0.4098930332499246,1.5083723068237305,394754
Transformer 3,0.6620479479760216,0.6173997158887227,0.7405702252144186,0.6731811380918389,24.217247233338032,0.38880063337273896,1.5083723068237305,394754
