fold,vocab_size,parameters,best_epoch,accuracy,precision,recall,f1,val_loss,training_time_seconds,inference_time_seconds,inference_ms_per_sentence
1,17411,1741201,4,0.6523889961389961,0.653012048192771,0.5563253784962792,0.6008036580296522,0.6277224437610524,104.07849383354187,1.384714126586914,0.16707458091058325
2,17415,1741601,4,0.6626840453777456,0.6471251409244645,0.5980724146913259,0.6216325978069581,0.6181099845279452,130.36851906776428,1.463273525238037,0.17659588767053308
3,17344,1734501,5,0.6485148514851485,0.6455279688902184,0.5556127703398558,0.5972049259720492,0.6473074821250159,104.70375490188599,2.010359764099121,0.24273844048528387
4,17411,1741201,5,0.6569669162038155,0.6598846037048284,0.5580380071905495,0.6047029358564074,0.6401981063091764,92.55717444419861,1.7332212924957275,0.2092756933706505
5,17508,1750901,3,0.6584158415841584,0.6690647482014388,0.5640636846095527,0.6120937885643768,0.6192416152036354,94.29052877426147,1.353858470916748,0.16346999165862688
