fold,epoch,train_loss,val_loss,accuracy,precision,recall,f1
1,1,0.6637379468948128,0.6472452690242341,0.6164333976833977,0.6305454545454545,0.4449576597382602,0.5217391304347826
1,2,0.6127322936035017,0.6297933679059665,0.6406853281853282,0.6518004625041295,0.506286887349243,0.5699017908723282
1,3,0.5745651387519254,0.6239352219353311,0.650699806949807,0.6600638977635783,0.5301513985116757,0.5880176462217163
1,4,0.5404518197142069,0.6277224437610524,0.6523889961389961,0.653012048192771,0.5563253784962792,0.6008036580296522
1,5,0.5125011269034185,0.6371386728921913,0.6526303088803089,0.6551829268292683,0.5514498332050295,0.5988574613348195
2,1,0.6684286341825766,0.6494788100775273,0.6150132754042964,0.6311111111111111,0.4068767908309456,0.49477351916376305
2,2,0.6182521305645052,0.6248534799571662,0.6467535602220613,0.6455938697318008,0.5266996613701485,0.5801176301821833
2,3,0.5800440802764553,0.6170304303810328,0.6584600531016171,0.6590980763166193,0.5444126074498568,0.5962910128388017
2,4,0.5456617512098945,0.6181099845279452,0.6626840453777456,0.6471251409244645,0.5980724146913259,0.6216325978069581
2,5,0.5168459992593823,0.6250574148538577,0.6595462225440502,0.6514880952380953,0.5702005730659025,0.6081400194471455
3,1,0.6656655084533548,0.6513157761404981,0.6103598164694518,0.6057971014492753,0.48429454170957775,0.5382744312491058
3,2,0.6140851065002949,0.6363402584617595,0.63680270466071,0.6342734518700184,0.5326982492276005,0.5790652113070249
3,3,0.5729678039732375,0.6342147798015426,0.6432021250905579,0.6433199629743906,0.5368177136972193,0.5852631578947368
3,4,0.5402877080331882,0.6411583828943359,0.6445303066892055,0.6487341772151899,0.527806385169928,0.5820556501987507
3,5,0.512041319757691,0.6473074821250159,0.6485148514851485,0.6455279688902184,0.5556127703398558,0.5972049259720492
4,1,0.6665358845825985,0.6495513131410654,0.6183289060613378,0.6398321251430752,0.4306625577812018,0.5148119723714505
4,2,0.6134305891299106,0.6342925788468999,0.6411494808017387,0.651246719160105,0.5097586029789419,0.5718813022183808
4,3,0.5740571494007219,0.6332153967255355,0.6453755131610722,0.6656282450674974,0.4938366718027735,0.5670057496682883
4,4,0.5403345702200852,0.6346540218734188,0.6549142719149964,0.6596794081381011,0.5495634309193631,0.5996077332586158
4,5,0.5111314804665935,0.6401981063091764,0.6569669162038155,0.6598846037048284,0.5580380071905495,0.6047029358564074
5,1,0.6649819322555899,0.645789717726879,0.6258150205264429,0.6341463414634146,0.5125094768764216,0.5668763102725367
5,2,0.615314720170745,0.6273220791473564,0.6446510504709008,0.6659031413612565,0.5142784938084407,0.5803507771281905
5,3,0.5747617870106968,0.6192416152036354,0.6584158415841584,0.6690647482014388,0.5640636846095527,0.6120937885643768
5,4,0.5421292508682349,0.6256680249793608,0.6575706351122917,0.6786738922537456,0.5380338640384129,0.6002255427121511
5,5,0.5134020286011735,0.6334238113613699,0.6560009659502536,0.676208651399491,0.5372757139246904,0.5987889029714125
