fold,epoch,train_loss,val_loss,accuracy,precision,recall,f1,epoch_time
1,1,0.6362621637958067,0.6156547571773883,0.656019122120817,0.618693134822167,0.6935558646267965,0.6539890710382513,2.3832594000268728
1,2,0.6168547965310238,0.6057721009408986,0.6642764015645372,0.6577861808181505,0.5914078195023953,0.6228334282691839,2.393535900162533
1,3,0.6115115166262344,0.6017299079232745,0.6672461248732435,0.6486614921590369,0.6328233657858137,0.6406445556946183,1.7659827000461519
1,4,0.604957033638601,0.6026834332280688,0.6650731565985804,0.6238765928906774,0.7187451707618606,0.6679592129829096,1.9869438000023365
1,5,0.6035035743757531,0.6094742822978232,0.6634072142546719,0.6981747066492829,0.4965229485396384,0.5803305337306963,2.205597799969837
1,6,0.6000467262886189,0.5980584229584094,0.6713747645951036,0.6368912797281994,0.6952557564518621,0.6647949759881788,1.9296064998488873
1,7,0.5956293810848836,0.5958833636509048,0.6731855714906563,0.6470058532192706,0.6662030598052852,0.6564641388761991,2.0514412000775337
1,8,0.5917284243084766,0.5980915443764793,0.6686223381138635,0.6305066079295154,0.7077731417091639,0.6669093556607207,2.1360748999286443
1,9,0.5891565832274931,0.5967997947224865,0.6730407069390121,0.6766564361798159,0.5791995054860145,0.6241465445462115,2.3505470000673085
1,10,0.5873175964311317,0.6013421973696461,0.6707228741127046,0.6895058082299665,0.5411837428527275,0.6064069264069264,2.1194135998375714
2,1,0.6329540825552411,0.6166274382008446,0.6513143601998697,0.609804179261401,0.7153869873573852,0.6583894998226322,2.366759500000626
2,2,0.6137150520527804,0.6172145665795715,0.6549351871967557,0.6773130022666392,0.5067838421214924,0.5797689390598818,2.255908800056204
2,3,0.6076609920020457,0.6061658845455559,0.6627561735100297,0.6521377474629845,0.6043786617329633,0.6273505641353925,2.1438464999664575
2,4,0.6056018300630428,0.6174796874876376,0.6547903541168802,0.605369621184259,0.7613320999074931,0.6744519565662774,2.158209400018677
2,5,0.6009649426020958,0.6033532481502604,0.6677529147657325,0.6531139077121653,0.624113475177305,0.6382844528539893,2.749707099981606
2,6,0.5952308616704411,0.6095336559746001,0.6597146788326453,0.690146839753139,0.5,0.5798837729101475,2.1794452001340687
2,7,0.5942010059952736,0.602589446913313,0.6675356651459193,0.6553024094410752,0.616404563675609,0.6352586001430047,2.160112600075081
2,8,0.5926003354015174,0.6019505761839725,0.6717358244623072,0.6439204126750184,0.673604687018193,0.658428151608771,2.2198860000353307
2,9,0.5884514186117384,0.6080074495187512,0.6645665870084727,0.620640291514836,0.7352759790317607,0.6731122088920254,2.301516499835998
2,10,0.5885529676797213,0.604083925485611,0.6642769208487218,0.6789860681114551,0.5410114091890225,0.6021966706710142,2.328138899989426
3,1,0.6343155506032484,0.614964269929462,0.6561390800434626,0.643262526349927,0.6089960085968683,0.6256604368740636,2.024623999837786
3,2,0.6154790575857516,0.6103506458026392,0.6600507062658457,0.6277894736842106,0.6866748541602702,0.6559131901165774,2.3715991999488324
3,3,0.6081803156821816,0.6067462883613728,0.6664252082578775,0.6731990564325894,0.5695425237949033,0.6170478170478171,2.428930199937895
3,4,0.6056982703782894,0.6060735889607005,0.6662803332126042,0.6229529335912315,0.7416334049739024,0.6771322447263298,2.3333042000886053
3,5,0.6011388114205113,0.6034309397693034,0.6717855849329953,0.6345866702864124,0.7176849861836045,0.6735825949139111,2.3834716998972
3,6,0.5966945354033399,0.6014420737822851,0.6717131474103586,0.6318169725990955,0.7291986490635555,0.677023945267959,2.3291885000653565
3,7,0.5946339898639255,0.6001269762162809,0.6696124592538936,0.6820809248554913,0.5615597175314707,0.6159804664477562,2.2543544999789447
3,8,0.5967400944619267,0.5992919035531856,0.6749728359290113,0.6446823697359029,0.6932760208781087,0.6680967527183963,2.1527722000610083
3,9,0.5908245458095162,0.5943793497151799,0.6780876494023904,0.6496097137901128,0.6898986797666564,0.6691483025610483,2.406106499955058
3,10,0.5872766712197551,0.5953811092509164,0.6773632741760232,0.6589015735883986,0.6556647221369358,0.6572791628193291,2.1161583000794053
